ID,Gender,Age,Customer Status,Customer Service,Satisfaction,Business Area
449,Male,18,Active,Booking was seamless through the app,0,App Usability
450,Female,22,Inactive,"Smooth ride, no problems at all",1,Vehicle Quality
451,Other,36,Active,Support resolved my issue quickly,0,Customer Support
452,Male,44,Active,Long wait time during pickup,1,Pickup Process
453,Other,57,Inactive,Unexpected fees were added to my bill,0,Pricing
454,Other,40,Inactive,Pricing was transparent and fair,1,Pricing
455,Male,55,Active,Dropoff was fast and efficient,1,Dropoff Process
456,Other,41,Active,Difficult to navigate the app,1,App Usability
457,Other,53,Inactive,Support resolved my issue quickly,1,Customer Support
458,Other,23,Inactive,No one responded to my issue,0,Customer Support
459,Male,67,Active,I received an old model with scratches,1,Vehicle Quality
460,Other,70,Inactive,Staff at pickup were helpful,1,Pickup Process
461,Female,36,Inactive,Pricing was transparent and fair,1,Pricing
462,Other,19,Inactive,The rental price was too high,1,Pricing
463,Female,20,Active,App interface is user-friendly,1,App Usability
464,Male,59,Active,Pickup was quick and easy,1,Pickup Process
465,Male,23,Inactive,Confusing dropoff instructions,1,Dropoff Process
466,Female,49,Active,Unexpected fees were added to my bill,1,Pricing
467,Male,21,Inactive,Pricing was transparent and fair,1,Pricing
468,Female,20,Inactive,Pricing was transparent and fair,0,Pricing
469,Female,58,Active,Support resolved my issue quickly,1,Customer Support
470,Female,66,Inactive,Had trouble locating the rental office,1,Pickup Process
471,Male,65,Active,Support resolved my issue quickly,1,Customer Support
472,Female,69,Inactive,The car was clean and in good condition,1,Vehicle Quality
473,Male,41,Active,I had to wait too long for dropoff,0,Dropoff Process
474,Female,69,Inactive,Long wait time during pickup,0,Pickup Process
475,Other,44,Inactive,Booking was seamless through the app,0,App Usability
476,Female,53,Active,The vehicle had mechanical issues,1,Vehicle Quality
477,Other,40,Inactive,Dropoff location was very convenient,1,Dropoff Process
478,Female,69,Active,Dropoff location was very convenient,1,Dropoff Process
479,Male,47,Active,Staff at pickup were helpful,0,Pickup Process
480,Male,45,Active,Pickup was quick and easy,0,Pickup Process
481,Other,39,Active,Dropoff location was very convenient,0,Dropoff Process
482,Male,27,Inactive,The car was clean and in good condition,1,Vehicle Quality
483,Other,61,Active,The rental price was too high,1,Pricing
484,Male,66,Inactive,I received an old model with scratches,1,Vehicle Quality
485,Male,59,Active,The car was clean and in good condition,0,Vehicle Quality
486,Other,46,Inactive,I had to wait too long for dropoff,0,Dropoff Process
487,Male,63,Active,Pickup was quick and easy,0,Pickup Process
488,Male,63,Active,Staff at pickup were helpful,1,Pickup Process
489,Female,23,Inactive,Had a bad experience with the helpline,1,Customer Support
490,Female,51,Active,I had to wait too long for dropoff,0,Dropoff Process
491,Male,48,Inactive,Pickup was quick and easy,0,Pickup Process
492,Female,45,Inactive,Dropoff location was very convenient,1,Dropoff Process
493,Male,32,Active,Difficult to navigate the app,0,App Usability
494,Male,49,Inactive,Pricing was transparent and fair,0,Pricing
495,Female,62,Active,App interface is user-friendly,0,App Usability
496,Male,25,Inactive,"Smooth ride, no problems at all",1,Vehicle Quality
497,Male,37,Active,The car was clean and in good condition,0,Vehicle Quality
498,Other,24,Active,Pickup was quick and easy,0,Pickup Process
499,Female,29,Inactive,The vehicle had mechanical issues,1,Vehicle Quality
500,Female,64,Inactive,Unexpected fees were added to my bill,1,Pricing
